track_id,energy,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence
00hVU6kDP67JHurfwG2dtq,0.417,77.054,0.029,0.543,0.0,0.645,-7.022,0.256
00hY9G7oTlWd86U3FYzwoH,0.766,89.1,0.034,0.0109,0.46,0.366,-8.325,0.175
00hgtJwONC7jG6X0GUMXvv,0.93,136.904,0.0385,0.00479,0.104,0.48,-5.985,0.487
00hh0NPClA0PJetfwn4k5R,0.631,81.004,0.0381,0.167,4.91e-06,0.706,-4.292,0.603
00i0O74dXdaKKdCrqHnfXm,0.903,142.006,0.0658,0.0344,0.0,0.725,-2.955,0.946
00i7J93mGntbUfKofnMnxu,0.857,109.99,0.0422,0.088,0.0108,0.673,-7.493,0.47
00iCRJ7pk3onHablkLyVH1,0.922,124.036,0.139,0.0363,0.0,0.497,-4.674,0.496
00jusKdEnHrRUmXIddEsd0,0.38,90.699,0.0281,0.098,3.03e-06,0.597,-12.712,0.463
00k4IcdhoUtt3fBATrDyhh,0.982,159.982,0.191,0.108,0.00811,0.795,-0.737,0.533
00k9CCERZoKFiBg1KGPOGb,0.768,88.045,0.041,0.062,0.00056,0.662,-8.015,0.616
00lNx0OcTJrS3MKHcB80HY,0.669,124.007,0.138,0.163,0.0,0.876,-6.054,0.682
00meczE1jpLTX0BBzIGrAR,0.84,130.276,0.0672,0.393,8.64e-06,0.764,-5.023,0.843
00n24Sf2vxgmCT4p8oPLYf,0.704,171.898,0.251,0.000952,0.00085,0.673,-6.81,0.729
00nQoR3Ewp916Ma0Kt2TQx,0.892,120.02,0.11,0.0795,7.46e-05,0.723,-7.172,0.501
00nSahRffIywh0XSzTZvae,0.738,131.91,0.0706,0.303,0.4,0.584,-9.338,0.158
00nTL5wFHP5IgJr2sHcQe7,0.861,105.982,0.0397,9.23e-05,3.58e-05,0.455,-6.286,0.553
00oHVAstyM08Q82e2XYvkS,0.558,120.573,0.545,0.78,0.0,0.791,-9.122,0.879
00ohIpPn9LkKpeIqhfIU9V,0.281,119.515,0.0334,0.829,0.0,0.42,-8.204,0.229
00olYl3uAVihNRt46OAT04,0.304,95.581,0.0265,0.64,1.02e-05,0.684,-13.466,0.913
00pLvXMdSXJG8HLliuWTWt,0.219,135.921,0.0963,0.742,0.0,0.748,-13.729,0.409
00pgvR1zUVYubZpdY7jryZ,0.618,129.823,0.108,0.063,6.34e-05,0.681,-7.952,0.167
00qOE7OjRl0BpYiCiweZB2,0.653,176.647,0.0654,0.0828,0.0,0.357,-5.554,0.522
00qV1HXh7JgT65HNOEj7iW,0.95,124.926,0.0908,0.00134,0.0,0.444,-3.926,0.303
00qnJBzKE8FQsIXoio0Kqd,0.264,92.246,0.0424,0.932,0.938,0.345,-19.594,0.0716
00rrluZUPNbfTSWvodUZbV,0.546,141.876,0.0282,0.0181,0.0,0.513,-5.703,0.245
00sRQ7fWIJBtPVsEu1t9CM,0.547,139.982,0.055,0.0227,0.0,0.668,-5.404,0.258
00t41MppG6m4LkZNfme05u,0.199,142.206,0.0405,0.95,8.63e-05,0.312,-11.425,0.166
00t74gkRAMw83w6GGiAZHw,0.667,109.036,0.0313,0.016,0.0,0.667,-6.388,0.588
00t7QTffOR3SA3L1BvSQVq,0.501,78.61,0.425,0.466,9.09e-06,0.604,-10.171,0.0956
00t8f0jxCP556HvIoMulCZ,0.737,161.869,0.226,0.0154,0.000107,0.753,-3.307,0.499
00tB8c71eTcG5jV7PhuF4Q,0.698,136.031,0.0357,0.248,3.09e-06,0.612,-7.224,0.199
00uEBU3gbArSYmY86vXVEu,0.562,136.035,0.407,0.287,0.0,0.627,-11.347,0.39
00uMqGKypSLYfqbKmZLy46,0.785,112.003,0.0358,0.22,0.000478,0.604,-8.094,0.601
00vk0sEfb6mr2ehwSw0Uhn,0.849,119.981,0.0587,0.057,0.0103,0.773,-8.345,0.913
00wBRJMvirudkGVbU3t2bm,0.788,129.788,0.145,0.0301,0.0,0.656,-5.754,0.576
00wSD5E1UWPf63ZG78Lfx3,0.306,79.609,0.0277,0.883,0.00577,0.335,-10.559,0.268
00xKDSwfQXmHiarda9PgID,0.746,100.991,0.0376,0.333,0.0,0.786,-5.939,0.66
00xR9dHhuaNznqB4FSzOlr,0.959,137.377,0.102,0.0995,6.07e-05,0.567,-3.822,0.961
00yLvlghzqjIhYfUrTUM7I,0.396,97.497,0.038,0.375,1.64e-06,0.5,-13.177,0.343
00yQl6VP2oHUqnrhAXEKoW,0.712,119.308,0.0561,0.00334,0.0,0.439,-5.162,0.528
00z4wF0iJsp6GwDkQxkGs6,0.818,116.93,0.0492,0.0936,0.0,0.737,-2.892,0.893
00zg6zWC0r8J9gd4OPWpTq,0.234,72.336,0.0387,0.867,0.00798,0.388,-11.324,0.294
00zqTWtvCWvDtAqoLRl6Sy,0.646,128.279,0.0839,0.376,0.0,0.682,-5.509,0.253
0100qpD7idFGjZjOi3IbB0,0.798,82.998,0.315,0.181,0.0,0.739,-4.47,0.765
0102KKdnrNRqltXot675Bb,0.431,129.988,0.0468,0.0587,0.0914,0.798,-11.527,0.593
010Bok4MiQsxHYtcl0HKmJ,0.427,127.221,0.222,0.000323,0.0055,0.926,-14.031,0.929
011AQ5ytjVE4gBgq4HGFpy,0.841,109.015,0.0306,0.00079,0.0,0.596,-4.092,0.714
011oJftEMAoh3qLvusE9mp,0.69,109.041,0.0676,0.543,0.00636,0.882,-3.169,0.875
011sQ9OXMebmrss7V539nP,0.319,168.736,0.205,0.161,0.0151,0.627,-13.382,0.452
0121cQrltj3XwySaYpNxfD,0.0578,130.203,0.0304,0.989,0.0461,0.547,-15.284,0.0334
013IXgOa1zzkXMPDX7hhdC,0.373,103.221,0.0247,0.693,0.00462,0.531,-10.61,0.338
013uua7LMlib7LK40bjJGH,0.839,106.623,0.0461,0.159,0.0138,0.598,-11.754,0.585
014J7jX1wSv0manSdRnveo,0.648,121.96,0.036,0.0194,0.00104,0.608,-5.569,0.114
014S84Cgs1uGmWOIW6V9U9,0.616,181.543,0.08,0.00978,0.887,0.724,-7.782,0.711
015IsLQFXbEm0f541N2qoX,0.83,124.989,0.0366,0.000629,1.13e-06,0.654,-4.801,0.548
015QxjqYIZ7eKTJYjDPC5n,0.318,120.53,0.0317,0.893,0.0,0.361,-6.791,0.168
016PAkQaQKHRjP0vMeoGUz,0.461,119.68,0.0328,0.951,0.756,0.474,-12.635,0.0399
017HOVDJcVTzlSJv0Eo4qH,0.727,160.882,0.323,0.0168,0.0,0.681,-5.086,0.347
017kEwb3lDoaaZWvEVAxNs,0.828,170.196,0.0664,0.00517,0.541,0.449,-4.901,0.623
017nSBNU2XHwMV0NCWZCqg,0.523,90.062,0.0269,0.11,4.2e-06,0.469,-8.409,0.197
018SbkFOp0E6PpmUag68IS,0.459,109.429,0.22,0.239,0.0116,0.899,-10.934,0.82
018idtQsIvvl9mFTcdKJz5,0.853,124.008,0.0602,0.101,1.36e-06,0.67,-4.457,0.755
0194YiKINgCOppywsNv7FT,0.0631,90.42,0.034,0.993,0.0519,0.52,-17.377,0.171
019FM2BxcPE2vyGWeOWhvS,0.602,110.463,0.108,0.0974,0.0,0.409,-7.025,0.186
01A7PEPSnmtixFPfB2UTal,0.631,119.971,0.0998,0.0406,0.000478,0.793,-6.109,0.231
01A9UQ3va1LyEO5a9MMSzw,0.568,144.254,0.0795,0.0056,0.0,0.821,-7.642,0.623
01ADMjKzsqzXYN7Ddtu1cl,0.485,120.034,0.082,0.105,0.0,0.924,-8.985,0.325
01Aj44KIjCrPmZeXq4UOky,0.577,173.675,0.119,0.163,0.0,0.412,-4.944,0.345
01BCcxcNobPWN2sijlxBrA,0.654,76.915,0.285,0.552,0.000604,0.671,-7.844,0.648
01BU4svdd7vYjnDwJJDJcm,0.971,126.997,0.0614,0.00019,0.533,0.659,-1.707,0.204
01CJDcOSteNT93CgfgsajY,0.349,75.682,0.12,0.858,0.0,0.457,-6.909,0.303
01CNPn5mI7UZCtaOvg0Gmu,0.289,116.714,0.029,0.516,0.0,0.496,-9.341,0.32
01Ch5LzVStxCFPKkT1xg6k,0.578,142.028,0.0417,0.0859,1.19e-06,0.733,-5.245,0.447
01CnYyPXMFRzOFVQBU8WMb,0.801,126.966,0.0354,0.0626,1.15e-05,0.613,-4.431,0.609
01D87p503wfqPqsYbjYwjb,0.174,130.702,0.0434,0.966,0.884,0.314,-20.116,0.0922
01DYvTnfnCkrl1uJWUaqWQ,0.0603,83.32,0.0383,0.971,0.904,0.295,-23.804,0.083
01DidSmPasiXdPhDVuaULL,0.736,99.614,0.0948,0.015,8.81e-05,0.587,-5.824,0.177
01F8B0dhzGdWvmcSO6vUdi,0.638,94.52,0.0806,0.142,0.0,0.805,-5.864,0.644
01GAyirO9mciPH3YV4JWNZ,0.0192,149.238,0.0396,0.983,0.0024,0.254,-24.622,0.19
01GRe3keQaq2QK1LJFPeKv,0.233,91.09,0.0322,0.813,0.832,0.3,-13.518,0.112
01ICFoBoco3TaM5r3HthXy,0.828,105.303,0.0361,0.000721,0.438,0.539,-9.11,0.587
01IecYTa2V0yFOhlNlLVJ8,0.967,150.102,0.0823,0.000119,0.00257,0.473,-5.138,0.436
01Iuu8LFuZREBFOnT1IFwA,0.941,124.1,0.431,0.18,0.0,0.582,-5.498,0.41
01IyLgH29kt46qu8hdwf8G,0.524,130.672,0.0327,0.144,0.0,0.55,-4.822,0.285
01JPQ87UHeGysPVwTqMJHK,0.478,99.967,0.0481,0.274,0.0,0.649,-7.503,0.151
01K1nagpezxBi3wd76MYFi,0.67,78.641,0.0463,0.0749,4.21e-05,0.353,-11.757,0.907
01KdLUbWrTXdviMq7bDhip,0.711,140.058,0.337,0.0793,0.0,0.672,-5.492,0.518
01LSU6meTykNfXu66aBTvZ,0.53,110.08,0.0737,0.375,0.0048,0.797,-3.802,0.269
01LigwR8Dn9cPqCIGIBqwv,0.583,102.008,0.0535,0.00921,0.00711,0.801,-6.7,0.666
01MBhRpvFkbeRwAp7gcF2W,0.959,95.794,0.0769,0.00133,0.171,0.624,-6.253,0.69
01MO5Ib9mCG7srUhZl52BA,0.766,162.058,0.0327,0.219,0.0,0.5,-6.258,0.738
01O2sFXHb72XiXRyOFlkI7,0.337,107.915,0.094,0.706,0.0,0.416,-14.42,0.248
01PLa3LP9WfuAKr3mBRnY4,0.434,97.986,0.263,0.458,0.0,0.798,-8.844,0.362
01PW4iTCvh9cUHPF0eV7H3,0.959,155.541,0.0627,0.000437,5.32e-05,0.294,-2.794,0.481
01PczmMkigsEjsRSPTsepy,0.278,113.019,0.0569,0.757,0.0969,0.658,-12.633,0.0376
01PhzvlTMI5zmGkpswxHRQ,0.587,107.769,0.0358,0.108,3.39e-06,0.269,-8.603,0.257
01PsasDr6ZvYDL3HaLCX6y,0.891,113.055,0.11,0.0256,7.28e-05,0.684,-3.117,0.797
01R0Xdwje645C6xFCnMRvm,0.804,157.996,0.044,0.0211,0.00248,0.507,-13.267,0.708
01RVupyBFNuALcAFZjL4FY,0.757,124.716,0.0332,0.553,0.0,0.719,-5.32,0.817
01RVvVG0yqI5X0HWkRrZSZ,0.915,139.939,0.0744,0.00021,0.71,0.604,-5.515,0.363
01ScM8c8EFTZ1Llf78Ej0X,0.476,130.011,0.241,0.337,0.0288,0.583,-13.736,0.439
01SfTM5nfCou5gQL70r6gs,0.152,80.608,0.0277,0.326,0.0034,0.419,-12.126,0.239
01T0Kq5YOIRF9BQRXJsyfe,0.928,115.204,0.0559,0.00144,0.00295,0.56,-4.594,0.615
01TR6aAKrA2cI3Z0gnCOsu,0.549,92.224,0.429,0.063,2.47e-05,0.751,-10.508,0.553
01TdlwFBNijaI4AVNPV4bQ,0.406,182.279,0.0341,0.629,4.1e-05,0.292,-10.515,0.211
01UTGeKaSANZCXxkAu6vPY,0.633,91.398,0.0261,0.436,9.32e-05,0.699,-6.249,0.907
01UYpHuzHi4eB9PAbDoPY2,0.581,88.718,0.0388,0.553,0.0177,0.49,-6.566,0.318
01VGA34ATxwp0Xo1ldduo2,0.455,83.273,0.112,0.855,0.0,0.657,-8.673,0.326
01VXGDL8Ox3SWmvM8ZyvSB,0.885,160.041,0.0422,0.000963,7.94e-05,0.481,-5.041,0.631
01Vc4fbQr07AD9oi0EJBSM,0.605,102.057,0.134,0.762,0.000786,0.699,-9.507,0.619
01W5V5ldcR16YA7ZVHFLSH,0.952,180.079,0.0787,3.91e-05,0.00104,0.366,-3.082,0.431
01X2B6prmGuN8Nn0uCYAvs,0.532,82.509,0.244,0.186,0.0,0.732,-7.751,0.439
01X4vM5W2LBiBWRSY1O7TF,0.697,158.713,0.0437,0.000428,0.00576,0.397,-10.259,0.592
01XFgRZfZI7oBagNf1Loml,0.794,137.825,0.0483,0.0111,0.00182,0.452,-5.151,0.282
01XIWnrfcBrMtDfnGAk6TA,0.686,67.85,0.0526,0.379,0.0,0.658,-4.96,0.292
01XUDSejUVyvFMWI8hOKgN,0.744,112.057,0.0331,0.104,0.0,0.66,-7.699,0.52
01XiPo8fA6Wx0O4NHZXQm1,0.674,83.974,0.0336,0.00186,1.61e-05,0.386,-4.982,0.0725
01XyR2VFEI65Q65eM46Zw6,0.493,163.661,0.159,0.688,3.27e-06,0.514,-6.704,0.699
01YsZWbUZn59NrY2up3X1G,0.749,113.993,0.0383,0.00454,5.06e-06,0.573,-6.401,0.381
01ZepwW5W3Z4fwl4bzaHyY,0.843,158.028,0.0707,0.00507,0.0,0.493,-5.924,0.523
01Zk6jIg97dsGoQhS13wWC,0.697,100.368,0.0405,0.566,2.26e-05,0.52,-10.868,0.914
01ZpFhrMMqKPVCwyqXneVp,0.132,136.186,0.0375,0.938,0.104,0.282,-15.569,0.0379
01a0J96fRD91VnjQQUCqMK,0.941,99.636,0.0377,0.00594,2.89e-05,0.527,-4.213,0.793
01bEpdG1KZdaUZt3t1WH8Z,0.558,109.981,0.0477,0.474,0.0,0.76,-7.538,0.478
01ctuPaput3MjMKD2ExBws,0.7,149.964,0.0429,0.00343,0.0,0.586,-4.282,0.481
01dPxcBaWnKbIRbgdVESs9,0.406,170.859,0.0425,0.131,0.0,0.181,-7.507,0.143
01df8XbcaqZ7OF3Z7a1UH9,0.733,75.509,0.0319,0.000118,5.28e-06,0.457,-5.589,0.374
